ModelName,PlistName,Ipname
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF2_S1_RENDERB_MEDIAB_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF2_S1_RENDERD_MEDIAD_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF2_S1_RENDERE_MEDIAE_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF3_S1_RENDERB_MEDIAB_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF3_S1_RENDERD_MEDIAD_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF3_S1_RENDERE_MEDIAE_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF4_S1_RENDERB_MEDIAB_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF4_S1_RENDERD_MEDIAD_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF4_S1_RENDERE_MEDIAE_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF5_S1_RENDERB_MEDIAB_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF5_S1_RENDERD_MEDIAD_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF5_S1_RENDERE_MEDIAE_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF1_S1_RENDERA_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF1_S1_RENDERC_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF2_S1_RENDERA_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF2_S1_RENDERC_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF4_S1_RENDERA_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF4_S1_RENDERC_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF5_S1_RENDERA_list,
CHNPRR1,L3SBFT_X_GTUS_VMIN_K_SRHGTUSF5_S1_RENDERC_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF0_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF0_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF2_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF2_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF3_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF3_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF4_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF4_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF5_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF5_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF7_S1_LLC_VCCCR_downsku_list,
CHNPRR1,LLCSBFT_X_CLR_VMIN_K_SRHRINGF7_S1_LLC_VCCCR_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF1_S1_LLC_VCCGT_downsku_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF2_S1_LLC_VCCGT_downsku_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF2_S1_LLC_VCCGT_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF3_S1_LLC_VCCGT_downsku_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF3_S1_LLC_VCCGT_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF4_S1_LLC_VCCGT_downsku_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF4_S1_LLC_VCCGT_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF5_S1_LLC_VCCGT_downsku_list,
CHNPRR1,LLCSBFT_X_GTSM_VMIN_K_SRHGTSMF5_S1_LLC_VCCGT_list,
CHNPRR1,SBFT_8C_CLR_VMIN_SRHRINGF2_X_list,
CHNPRR1,SBFT_8C_CLR_VMIN_SRHRINGF3_X_list,
CHNPRR1,SBFT_8C_CLR_VMIN_SRHRINGF4_X_list,
CHNPRR1,SBFT_8C_CLR_VMIN_SRHRINGF5_X_list,
CHNPRR1,SBFT_8C_CLR_VMIN_SRHRINGF7_X_list,
CHNPRR1,SLICE_8C_ATOM_VMIN_SRHRINGF7_List,
CHNPRR1,array_epbist_ms_rom_SRHATOMF1_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_ms_rom_SRHATOMF2_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_ms_rom_SRHATOMF3_sino_lsa_atomclk_list,
